"ids"	"class"	"match"	"multiple_matches"	"pattern_match"	"uri"	"order"
"6893"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6893"	"Araneae"
"85823"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/85823"	"Blattodea"
"118457"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/118457"	"Chordeumatida"
"7041"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7041"	"Coleoptera"
"84308"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/84308"	"Cyclopoida"
"27434"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/27434"	"Dermaptera"
"84337"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/84337"	"Diplostraca"
"29997"	"uid"	"found"	TRUE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/29997"	"Diplura"
"7147"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7147"	"Diptera"
"730330"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/730330"	"Entomobryomorpha"
"60154"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/60154"	"Geophilomorpha"
"7524"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7524"	"Hemiptera"
"7399"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7399"	"Hymenoptera"
"29979"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/29979"	"Isopoda"
"6935"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6935"	"Ixodida"
"41448"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/41448"	"Julida"
"7088"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7088"	"Lepidoptera"
"41362"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/41362"	"Lithobiomorpha"
"34634"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/34634"	"Mesostigmata"
"79708"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/79708"	"Neelipleona"
"7516"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7516"	"Neuroptera"
"6961"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6961"	"Odonata"
"43271"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/43271"	"Opiliones"
"84318"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/84318"	"Podocopida"
"730331"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/730331"	"Poduromorpha"
"71419"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/71419"	"Polydesmida"
"52425"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/52425"	"Polyxenida"
"51799"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/51799"	"Pseudoscorpiones"
"1930602"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/1930602"	"Psocodea"
"50482"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/50482"	"Raphidioptera"
"83137"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/83137"	"Sarcoptiformes"
"79705"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/79705"	"Symphypleona"
"30262"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/30262"	"Thysanoptera"
"30263"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/30263"	"Trichoptera"
"83136"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/83136"	"Trombidiformes"
"6821"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6821"	"Amphipoda"
"50657"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/50657"	"Embioptera"
"30073"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/30073"	"Ephemeroptera"
"27420"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/27420"	"Mecoptera"
"6993"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6993"	"Orthoptera"
"50622"	"uid"	"found"	TRUE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/50622"	"Plecoptera"
"30264"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/30264"	"Zygentoma"
"6659"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6659"	"Anostraca"
"29993"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/29993"	"Cephalobaenida"
"6683"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6683"	"Decapoda"
"41212"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/41212"	"Harpacticoida"
"7504"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7504"	"Mantodea"
"7020"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7020"	"Phasmida"
"41361"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/41361"	"Scolopendromorpha"
"6855"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/6855"	"Scorpiones"
"7509"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/7509"	"Siphonaptera"
"118461"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/118461"	"Sphaerotheriida"
"30261"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/30261"	"Strepsiptera"
"50553"	"uid"	"found"	FALSE	FALSE	"https://www.ncbi.nlm.nih.gov/taxonomy/50553"	"Megaloptera"
